7888,11/17/16,AM,DB
7326,11/17/16,AM,DB
7698,11/17/16,AM,DB
7417,11/17/16,AM,DB
7839,11/17/16,AM,DB
7284,11/17/16,AM,DB
7482,11/17/16,AM,DB
7938,11/17/16,AM,DB
7870,11/17/16,AM,DB
7623,11/17/16,AM,DB
6047,11/17/16,AM,DB
6724,11/17/16,AM,DB
7649,11/17/16,AM,DB
7664,11/17/16,AM,DB
7532,11/17/16,AM,DB
7763,11/17/16,AM,DB
7409,11/17/16,AM,DB
7862,11/17/16,AM,DB
7946,11/17/16,AM,DB
7433,11/17/16,AM,DB
7722,11/17/16,AM,DB
7375,11/17/16,AM,DB
7359,11/17/16,AM,DB
7441,11/17/16,AM,DB
7490,11/17/16,AM,DB
7474,11/17/16,AM,DB
7334,11/17/16,AM,DB
7342,11/17/16,AM,DB
7672,11/17/16,AM,DB
7383,11/17/16,AM,DB
5981,11/17/16,AM,DB
8001,11/17/16,AM,DB
4514,11/19/16,AM,DB
6047,11/19/16,AM,DB
6724,11/19/16,AM,DB
5551,11/19/16,AM,DB
6278,11/19/16,AM,DB
4514,11/21/16,AM,DB
7938,11/21/16,AM,DB
7383,11/21/16,AM,DB
7748,11/21/16,AM,DB
7722,11/21/16,AM,DB
7649,11/21/16,AM,DB
7847,11/21/16,AM,DB
7565,11/21/16,AM,DB
7466,11/21/16,AM,DB
7409,11/21/16,AM,DB
7763,11/21/16,AM,DB
7425,11/21/16,AM,DB
7417,11/21/16,AM,DB
6278,11/21/16,AM,DB
7433,11/21/16,AM,DB
7359,11/21/16,AM,DB
7441,11/21/16,AM,DB
7888,11/21/16,AM,DB
7946,11/21/16,AM,DB
7599,11/21/16,AM,DB
7839,11/21/16,AM,DB
5981,11/21/16,AM,DB
7698,11/21/16,AM,DB
7714,11/21/16,AM,DB
8001,11/21/16,AM,DB
7375,11/21/16,AM,DB
7920,11/21/16,AM,DB
7656,11/21/16,AM,DB
7896,11/21/16,AM,DB
7474,11/21/16,AM,DB
7490,11/21/16,AM,DB
7664,11/21/16,AM,DB
7334,11/21/16,AM,DB
7342,11/21/16,AM,DB
7326,11/21/16,AM,DB
7573,11/21/16,AM,DB
7482,11/21/16,AM,DB
7771,11/21/16,AM,DB
6047,11/21/16,AM,DB
7581,11/21/16,AM,DB
7623,11/21/16,AM,DB
4514,11/22/16,AM,DB
5809,11/22/16,AM,DB
7888,11/22/16,AM,DB
6047,11/22/16,AM,DB
7714,11/22/16,AM,DB
7847,11/22/16,AM,DB
7375,11/22/16,AM,DB
7722,11/22/16,AM,DB
7631,11/22/16,AM,DB
